سال,Gregorian,Operational Rev,Asset Sales,Borrowing,Dev Fund,Ministry Rev,Gov Total Rev,State Co Rev,TOTAL REV,Current Exp,Capital Exp,Subsidies,Gov Total Exp,State Co Exp,TOTAL EXP,YoY%,State%
1395,2016-2017,3354895.15,0.00,0.00,0.00,0.00,3354895.15,6430634.83,9785529.97,3354895.15,0.00,0.00,3354895.15,6430634.83,9785529.97,,65.7
1396,2017-2018,3199990.00,0.00,0.00,0.00,511246.94,3711236.94,7565401.64,11276638.58,3711236.94,0.00,0.00,3711236.94,7565401.64,11276638.58,15.2,67.1
1397,2018-2019,3867866.15,0.00,0.00,0.00,570738.52,4438604.67,8391247.28,12829851.95,4438604.67,0.00,0.00,4438604.67,8391247.28,12829851.95,13.8,65.4
1398,2019-2020,4485811.15,0.00,0.00,0.00,714272.50,5200083.65,12771433.16,17971516.81,5200083.65,0.00,0.00,5200083.65,12771433.16,17971516.81,40.1,71.1
1399,2020-2021,5609897.56,0.00,0.00,0.00,797873.49,6407771.04,14359225.58,20766996.62,6407771.22,0.00,0.00,6407771.22,14359225.58,20766996.79,15.6,69.2
1400,2021-2022,12779209.36,0.00,0.00,0.00,958489.91,13737699.27,15713217.84,28823398.46,188.62,762802.15,6817.82,769808.59,15713218.00,28823398.46,38.8,54.5
1401,2022-2023,13941318.50,0.00,0.00,0.00,1332396.11,15273714.61,22314079.32,37587793.93,491.00,1746914.27,2765.03,1750170.30,21720597.00,37587793.93,30.5,59.4
1402,2023-2024,20823312.66,0.00,0.00,0.00,1811605.45,22634918.11,28839107.26,49947144.08,1008.09,274179.93,63449.87,338637.89,30976965.00,49947144.08,32.9,57.7
1403,2024-2025,15983000.00,9638400.00,0.00,0.00,2751000.00,28371400.00,37415723.10,64587124.00,1585.70,853990.50,23114.50,878690.70,37416724.00,64587124.00,29.3,57.9
1404,2025-2026,49565000.00,0.00,0.00,0.00,4280000.00,53845000.00,63732759.00,112795309.00,22676000.00,20700000.00,10500000.00,53876000.00,63732759.00,112795309.00,74.6,56.5